Experiment ID,Timestamp,Number of Classes,Train Samples,Validation Samples,Test Samples,Model Name,Total Parameters,Trainable Parameters,Input Size,Batch Size,Learning Rate,Optimizer,Loss Function,Epochs Run / Total,Early Stopping Patience,Scheduler,Data Augmentation Enabled,Best Validation Accuracy,Final Test Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro),ROC-AUC Score,Average Epoch Time (sec),Total Training Time (sec),Total Pipeline Time (sec),Landmark Identifier
6a43448c-3187-4cb7-93a4-257199327c4b,18-07-2026 19:20,7,10737,2301,2301,SCNN_FC,980231,980231,"torch.Size([64, 10, 3, 48, 48])",64,0.01,Adam,CrossEntropyLoss,30/200,10,ReduceLROnPlateau,FALSE,73.40286831812256,71.09952194697958,0.7085848643761915,0.5706709522860142,0.617599573,0.910275422,271.84033722082773,8155.210116624832,8311.748091459274,AU-AU1-AU2-AU4-AU5-AU6-AU9-AU12-AU15-AU17-AU26
4f726d1a-d7a0-4e47-a186-a870616603c5,18-07-2026 21:39,7,10737,2301,2301,ECF_CNN,979655,979655,"torch.Size([64, 10, 3, 48, 48])",64,0.01,Adam,CrossEntropyLoss,26/200,10,ReduceLROnPlateau,FALSE,70.09995654063451,67.92698826597132,0.6753953330497806,0.5273430810625747,0.574309585,0.8987607971019954,252.2565346772854,6558.669901609421,6697.599262475967,AU-AU1-AU2-AU4-AU5-AU6-AU9-AU12-AU15-AU17-AU26
4e316bec-a527-4297-9bd5-dbccf78fbc5a,18-07-2026 23:30,7,10737,2301,2301,SCNN_FMF,13942535,13942535,"torch.Size([64, 10, 3, 48, 48])",64,0.01,Adam,CrossEntropyLoss,19/200,10,ReduceLROnPlateau,FALSE,71.40373750543242,68.05736636,0.6537923547803228,0.5390132649701058,0.5711216390630163,0.8985861754159445,272.5607950561925,5178.6551060676575,5320.300641298294,AU-AU1-AU2-AU4-AU5-AU6-AU9-AU12-AU15-AU17-AU26
7e8f44c5-2b52-47a1-8b42-920b30a34b26,19-07-2026 06:39,7,10737,2301,2301,S3D_CNN,2884487,2884487,"torch.Size([64, 10, 3, 48, 48])",64,0.1,Adam,CrossEntropyLoss,11/200,10,ReduceLROnPlateau,FALSE,38.80921338548457,38.85267275097784,0.055503818,0.14285714285714285,0.079946345,0.5704219763687036,317.7543104128404,3495.2974145412445,3667.572655916214,AU-AU1-AU2-AU4-AU5-AU6-AU9-AU12-AU15-AU17-AU26
145580b1-9cd4-4022-8cb1-0176b1d88e5b,19-07-2026 07:40,7,10737,2301,2301,LSCNN_FC,9640967,9640967,"torch.Size([64, 10, 3, 48, 48])",64,0.1,Adam,CrossEntropyLoss,57/200,10,ReduceLROnPlateau,FALSE,63.14645806,61.016949152542374,0.5449129654074067,0.42763551129592325,0.4544612582457767,0.838834114,272.85955653274266,15552.994722366333,15710.006236076355,AU-AU1-AU2-AU4-AU5-AU6-AU9-AU12-AU15-AU17-AU26
76d90412-24cb-42a2-8924-f96d06bdcc3c,19-07-2026 12:02,7,10737,2301,2301,LSCNN_FMF,22603271,22603271,"torch.Size([64, 10, 3, 48, 48])",64,0.1,Adam,CrossEntropyLoss,62/200,10,ReduceLROnPlateau,FALSE,60.060843111690566,58.80052151238592,0.5123488891992437,0.38292625820669607,0.3918590655542823,0.8107737223907346,279.38219677632856,17321.69620013237,17464.96834731102,AU-AU1-AU2-AU4-AU5-AU6-AU9-AU12-AU15-AU17-AU26
